#       xJ          yJ
#
  1.151800   0.416115
  1.152050   0.432810
  1.152300   0.449925
  1.152550   0.465045
  1.152800   0.478380
  1.153050   0.491925
  1.153300   0.506520
  1.153550   0.521325
  1.153800   0.537600
  1.154050   0.554715
  1.154300   0.570150
  1.154550   0.584430
  1.154800   0.598185
  1.155050   0.611520
  1.155300   0.624645
  1.155550   0.637560
  1.155800   0.651105
  1.156050   0.665595
  1.156300   0.679035
  1.156550   0.689850
  1.156800   0.699720
  1.157050   0.710010
  1.157300   0.722085
  1.157550   0.734265
  1.157800   0.744030
  1.158050   0.752325
  1.158300   0.762720
  1.158550   0.776265
  1.158800   0.789180
  1.159050   0.801990
  1.159300   0.816060
  1.159550   0.828345
  1.159800   0.838740
  1.160050   0.848400
  1.160300   0.856905
  1.160550   0.864570
  1.160800   0.870765
  1.161050   0.875805
  1.161300   0.880215
  1.161550   0.883680
  1.161800   0.886935
  1.162050   0.889455
  1.162300   0.891450
  1.162550   0.893655
  1.162800   0.896385
  1.163050   0.899010
  1.163300   0.901005
  1.163550   0.903525
  1.163800   0.907200
  1.164050   0.911925
  1.164300   0.916965
  1.164550   0.920010
  1.164800   0.921585
  1.165050   0.923790
  1.165300   0.927990
  1.165550   0.933555
  1.165800   0.938490
  1.166050   0.942900
  1.166300   0.946155
  1.166550   0.945945
  1.166800   0.943425
  1.167050   0.942270
  1.167300   0.942165
  1.167550   0.941850
  1.167800   0.942165
  1.168050   0.942585
  1.168300   0.943635
  1.168550   0.946365
  1.168800   0.949305
  1.169050   0.951405
  1.169300   0.954135
  1.169550   0.958650
  1.169800   0.960645
  1.170050   0.959175
  1.170300   0.957705
  1.170550   0.956760
  1.170800   0.957075
  1.171050   0.958335
  1.171300   0.959070
  1.171550   0.959595
  1.171800   0.961170
  1.172050   0.964215
  1.172300   0.965580
  1.172550   0.963690
  1.172800   0.961800
  1.173050   0.960855
  1.173300   0.958965
  1.173550   0.956025
  1.173800   0.955185
  1.174050   0.955395
  1.174300   0.954450
  1.174550   0.955500
  1.174800   0.958440
  1.175050   0.960645
  1.175300   0.963900
  1.175550   0.966735
  1.175800   0.966210
  1.176050   0.964740
  1.176300   0.965055
  1.176550   0.966630
  1.176800   0.967365
  1.177050   0.968205
  1.177300   0.970725
  1.177550   0.971460
  1.177800   0.968730
  1.178050   0.966735
  1.178300   0.968310
  1.178550   0.971145
  1.178800   0.973140
  1.179050   0.974925
  1.179300   0.976500
  1.179550   0.976710
  1.179800   0.976395
  1.180050   0.974820
  1.180300   0.971040
  1.180550   0.968415
  1.180800   0.968625
  1.181050   0.968205
  1.181300   0.966105
  1.181550   0.965055
  1.181800   0.965790
  1.182050   0.966000
  1.182300   0.965790
  1.182550   0.965055
  1.182800   0.962430
  1.183050   0.959910
  1.183300   0.959385
  1.183550   0.959595
  1.183800   0.958230
  1.184050   0.956550
  1.184300   0.957180
  1.184550   0.958755
  1.184800   0.960015
  1.185050   0.960960
  1.185300   0.961380
  1.185550   0.961695
  1.185800   0.962850
  1.186050   0.964740
  1.186300   0.964845
  1.186550   0.963270
  1.186800   0.961275
  1.187050   0.958860
  1.187300   0.958020
  1.187550   0.957915
  1.187800   0.957810
  1.188050   0.959280
  1.188300   0.961170
  1.188550   0.962010
  1.188800   0.961485
  1.189050   0.960330
  1.189300   0.960750
  1.189550   0.962955
  1.189800   0.965265
  1.190050   0.966840
  1.190300   0.967995
  1.190550   0.968310
  1.190800   0.968205
  1.191050   0.969150
  1.191300   0.970410
  1.191550   0.970620
  1.191800   0.969150
  1.192050   0.966315
  1.192300   0.964530
  1.192550   0.966315
  1.192800   0.969150
  1.193050   0.971355
  1.193300   0.972615
  1.193550   0.970305
  1.193800   0.965580
  1.194050   0.961065
  1.194300   0.956445
  1.194550   0.952245
  1.194800   0.948990
  1.195050   0.947835
  1.195300   0.947415
  1.195550   0.945945
  1.195800   0.945210
  1.196050   0.946680
  1.196300   0.948885
  1.196550   0.949725
  1.196800   0.949725
  1.197050   0.948465
  1.197300   0.944895
  1.197550   0.942375
  1.197800   0.941220
  1.198050   0.939435
  1.198300   0.937335
  1.198550   0.935970
  1.198800   0.935550
  1.199050   0.935025
  1.199300   0.934920
  1.199550   0.933765
  1.199800   0.930930
  1.200050   0.930300
  1.200300   0.932190
  1.200550   0.932610
  1.200800   0.931245
  1.201050   0.930510
  1.201300   0.929460
  1.201550   0.925575
  1.201800   0.921795
  1.202050   0.920220
  1.202300   0.919170
  1.202550   0.919170
  1.202800   0.921375
  1.203050   0.923055
  1.203300   0.922950
  1.203550   0.922320
  1.203800   0.921270
  1.204050   0.919380
  1.204300   0.916125
  1.204550   0.913500
  1.204800   0.912345
  1.205050   0.911190
  1.205300   0.910140
  1.205550   0.910560
  1.205800   0.912870
  1.206050   0.915495
  1.206300   0.918855
  1.206550   0.922110
  1.206800   0.923790
  1.207050   0.926310
  1.207300   0.928725
  1.207550   0.928620
  1.207800   0.927360
  1.208050   0.925995
  1.208300   0.925470
  1.208550   0.925260
  1.208800   0.924630
  1.209050   0.922005
  1.209300   0.918225
  1.209550   0.916860
  1.209800   0.918330
  1.210050   0.921585
  1.210300   0.925365
  1.210550   0.928620
  1.210800   0.930090
  1.211050   0.929250
  1.211300   0.926730
  1.211550   0.924210
  1.211800   0.924945
  1.212050   0.927360
  1.212300   0.928935
  1.212550   0.930405
  1.212800   0.930090
  1.213050   0.927570
  1.213300   0.925995
  1.213550   0.926835
  1.213800   0.929040
  1.214050   0.932085
  1.214300   0.936495
  1.214550   0.941115
  1.214800   0.943740
  1.215050   0.944790
  1.215300   0.945945
  1.215550   0.946260
  1.215800   0.947520
  1.216050   0.949725
  1.216300   0.948360
  1.216550   0.943530
  1.216800   0.940380
  1.217050   0.941220
  1.217300   0.943845
  1.217550   0.947835
  1.217800   0.953400
  1.218050   0.956865
  1.218300   0.956865
  1.218550   0.955395
  1.218800   0.953820
  1.219050   0.952770
  1.219300   0.953505
  1.219550   0.955500
  1.219800   0.955920
  1.220050   0.956760
  1.220300   0.960120
  1.220550   0.963375
  1.220800   0.964635
  1.221050   0.965580
  1.221300   0.969150
  1.221550   0.973350
  1.221800   0.976290
  1.222050   0.978390
  1.222300   0.978705
  1.222550   0.978495
  1.222800   0.979755
  1.223050   0.982485
  1.223300   0.985320
  1.223550   0.986475
  1.223800   0.984270
  1.224050   0.979650
  1.224300   0.975030
  1.224550   0.972720
  1.224800   0.973560
  1.225050   0.976290
  1.225300   0.977655
  1.225550   0.975975
  1.225800   0.973560
  1.226050   0.971775
  1.226300   0.970725
  1.226550   0.970620
  1.226800   0.971145
  1.227050   0.970305
  1.227300   0.968205
  1.227550   0.967680
  1.227800   0.967470
  1.228050   0.967155
  1.228300   0.969045
  1.228550   0.970515
  1.228800   0.969465
  1.229050   0.968100
  1.229300   0.967575
  1.229550   0.966945
  1.229800   0.965580
  1.230050   0.965895
  1.230300   0.965895
  1.230550   0.964215
  1.230800   0.964110
  1.231050   0.965160
  1.231300   0.966525
  1.231550   0.968100
  1.231800   0.969255
  1.232050   0.967995
  1.232300   0.964845
  1.232550   0.964320
  1.232800   0.965790
  1.233050   0.967785
  1.233300   0.970515
  1.233550   0.973035
  1.233800   0.973350
  1.234050   0.972090
  1.234300   0.970620
